Event,Year,x,Time,Medal,Gender,Name
50m Free,1988,25.49,25.49,Gold,Women's,x
50m Free,1988,25.64,25.64,Silver,Women's,y
50m Free,1988,25.71,25.71,Bronze,Women's,v
50m Free,1988,25.71,25.71,Bronze,Women's,s
50m Free,1992,24.79,24.79,Gold,Women's,dd
50m Free,1992,25.08,25.08,Silver,Women's,fsdf
50m Free,1992,25.23,25.23,Bronze,Women's,sdf
50m Free,1996,24.87,24.87,Gold,Women's,sfsd
50m Free,1996,24.9,24.9,Silver,Women's,fsdf
50m Free,1996,25.14,25.14,Bronze,Women's,fsdf
50m Free,2000,24.32,24.32,Gold,Women's,fsf
50m Free,2000,24.51,24.51,Silver,Women's,sfsd
50m Free,2000,24.63,24.63,Bronze,Women's,sdfs
50m Free,2004,24.58,24.58,Gold,Women's,dfs
50m Free,2004,24.89,24.89,Silver,Women's,fsdf
50m Free,2004,24.91,24.91,Bronze,Women's,fsdf
50m Free,2008,24.06,24.06,Gold,Women's,fd
50m Free,2008,24.07,24.07,Silver,Women's,fsdf
50m Free,2008,24.17,24.17,Bronze,Women's,fs
50m Free,2012,24.05,24.05,Gold,Women's,dfs
50m Free,2012,24.28,24.28,Silver,Women's,fds
50m Free,2012,24.39,24.39,Bronze,Women's,fs
50m Free,2016,24.07,24.07,Gold,Women's,fsdf
50m Free,2016,24.09,24.09,Silver,Women's,d
50m Free,2016,24.11,24.11,Bronze,Women's,d
100m Free,1912,01:22.2,82.2,Gold,Women's,
100m Free,1912,01:25.4,85.4,Silver,Women's,
100m Free,1912,01:27.0,87,Bronze,Women's,
100m Free,1920,01:13.6,73.6,Gold,Women's,
100m Free,1920,01:17.0,77,Silver,Women's,
100m Free,1920,01:17.2,77.2,Bronze,Women's,
100m Free,1924,01:12.4,72.4,Gold,Women's,
100m Free,1924,01:12.8,72.8,Silver,Women's,
100m Free,1924,01:14.2,74.2,Bronze,Women's,
100m Free,1928,01:11.0,71,Gold,Women's,
100m Free,1928,01:11.4,71.4,Silver,Women's,
100m Free,1928,01:13.6,73.6,Bronze,Women's,
100m Free,1932,01:06.8,66.8,Gold,Women's,
100m Free,1932,01:07.8,67.8,Silver,Women's,
100m Free,1932,01:09.3,69.3,Bronze,Women's,
100m Free,1936,01:05.9,65.9,Gold,Women's,
100m Free,1936,01:06.4,66.4,Silver,Women's,
100m Free,1936,01:06.6,66.6,Bronze,Women's,
100m Free,1948,01:06.3,66.3,Gold,Women's,
100m Free,1948,01:06.5,66.5,Silver,Women's,
100m Free,1948,01:07.6,67.6,Bronze,Women's,
100m Free,1952,01:06.8,66.8,Gold,Women's,
100m Free,1952,01:07.0,67,Silver,Women's,
100m Free,1952,01:07.1,67.1,Bronze,Women's,
100m Free,1956,01:02.0,62,Gold,Women's,
100m Free,1956,01:02.3,62.3,Silver,Women's,
100m Free,1956,01:05.1,65.1,Bronze,Women's,
100m Free,1960,01:01.2,61.2,Gold,Women's,
100m Free,1960,01:02.8,62.8,Silver,Women's,
100m Free,1960,01:03.1,63.1,Bronze,Women's,
100m Free,1964,59.5,59.5,Gold,Women's,
100m Free,1964,59.9,59.9,Silver,Women's,
100m Free,1964,01:00.8,60.8,Bronze,Women's,
100m Free,1968,01:00.0,60,Gold,Women's,
100m Free,1968,01:00.3,60.3,Silver,Women's,
100m Free,1968,01:00.3,60.3,Bronze,Women's,
100m Free,1972,58.59,58.59,Gold,Women's,
100m Free,1972,59.02,59.02,Silver,Women's,
100m Free,1972,59.06,59.06,Bronze,Women's,
100m Free,1976,55.65,55.65,Gold,Women's,
100m Free,1976,56.49,56.49,Silver,Women's,
100m Free,1976,56.65,56.65,Bronze,Women's,
100m Free,1980,54.79,54.79,Gold,Women's,
100m Free,1980,55.16,55.16,Silver,Women's,
100m Free,1980,55.65,55.65,Bronze,Women's,
100m Free,1984,55.92,55.92,Gold,Women's,
100m Free,1984,55.92,55.92,Silver,Women's,
100m Free,1984,56.08,56.08,Bronze,Women's,
100m Free,1988,54.93,54.93,Gold,Women's,
100m Free,1988,55.47,55.47,Silver,Women's,
100m Free,1988,55.49,55.49,Bronze,Women's,
100m Free,1992,54.64,54.64,Gold,Women's,
100m Free,1992,54.84,54.84,Silver,Women's,
100m Free,1992,54.94,54.94,Bronze,Women's,
100m Free,1996,54.5,54.5,Gold,Women's,
100m Free,1996,54.88,54.88,Silver,Women's,
100m Free,1996,54.93,54.93,Bronze,Women's,
100m Free,2000,53.83,53.83,Gold,Women's,
100m Free,2000,54.33,54.33,Silver,Women's,
100m Free,2000,54.43,54.43,Bronze,Women's,
100m Free,2004,53.84,53.84,Gold,Women's,
100m Free,2004,54.16,54.16,Silver,Women's,
100m Free,2004,54.4,54.4,Bronze,Women's,
100m Free,2008,53.12,53.12,Gold,Women's,
100m Free,2008,53.16,53.16,Silver,Women's,
100m Free,2008,53.39,53.39,Bronze,Women's,
100m Free,2012,53,53,Gold,Women's,
100m Free,2012,53.38,53.38,Silver,Women's,
100m Free,2012,53.44,53.44,Bronze,Women's,
100m Free,2016,52.7,52.7,Gold,Women's,
100m Free,2016,52.7,52.7,Silver,Women's,
100m Free,2016,52.99,52.99,Bronze,Women's,
100m Back,1924,01:23.2,83.2,Gold,Women's,
100m Back,1924,01:27.4,87.4,Silver,Women's,
100m Back,1924,01:28.2,88.2,Bronze,Women's,
100m Back,1928,01:22.0,82,Gold,Women's,
100m Back,1928,01:22.2,82.2,Silver,Women's,
100m Back,1928,01:22.8,82.8,Bronze,Women's,
100m Back,1932,01:19.4,79.4,Gold,Women's,
100m Back,1932,01:21.3,81.3,Silver,Women's,
100m Back,1932,01:22.5,82.5,Bronze,Women's,
100m Back,1936,01:18.9,78.9,Gold,Women's,
100m Back,1936,01:19.2,79.2,Silver,Women's,
100m Back,1936,01:19.4,79.4,Bronze,Women's,
100m Back,1948,01:14.4,74.4,Gold,Women's,
100m Back,1948,01:16.0,76,Silver,Women's,
100m Back,1948,01:16.7,76.7,Bronze,Women's,
100m Back,1952,01:14.3,74.3,Gold,Women's,
100m Back,1952,01:14.5,74.5,Silver,Women's,
100m Back,1952,01:15.8,75.8,Bronze,Women's,
100m Back,1956,01:12.9,72.9,Gold,Women's,
100m Back,1956,01:12.9,72.9,Silver,Women's,
100m Back,1956,01:13.1,73.1,Bronze,Women's,
100m Back,1960,01:09.3,69.3,Gold,Women's,
100m Back,1960,01:10.8,70.8,Silver,Women's,
100m Back,1960,01:11.4,71.4,Bronze,Women's,
100m Back,1964,01:07.7,67.7,Gold,Women's,
100m Back,1964,01:07.9,67.9,Silver,Women's,
100m Back,1964,01:08.0,68,Bronze,Women's,
100m Back,1968,01:06.2,66.2,Gold,Women's,
100m Back,1968,01:06.7,66.7,Silver,Women's,
100m Back,1968,01:08.1,68.1,Bronze,Women's,
100m Back,1972,01:05.8,65.8,Gold,Women's,
100m Back,1972,01:06.3,66.3,Silver,Women's,
100m Back,1972,01:06.3,66.3,Bronze,Women's,
100m Back,1976,01:01.8,61.8,Gold,Women's,
100m Back,1976,01:03.4,63.4,Silver,Women's,
100m Back,1976,01:03.7,63.7,Bronze,Women's,
100m Back,1980,01:00.9,60.9,Gold,Women's,
100m Back,1980,01:02.1,62.1,Silver,Women's,
100m Back,1980,01:02.6,62.6,Bronze,Women's,
100m Back,1984,01:02.5,62.5,Gold,Women's,
100m Back,1984,01:02.6,62.6,Silver,Women's,
100m Back,1984,01:02.9,62.9,Bronze,Women's,
100m Back,1988,01:00.9,60.9,Gold,Women's,
100m Back,1988,01:01.6,61.6,Silver,Women's,
100m Back,1988,01:01.6,61.6,Bronze,Women's,
100m Back,1992,01:00.7,60.7,Gold,Women's,
100m Back,1992,01:01.1,61.1,Silver,Women's,
100m Back,1992,01:01.4,61.4,Bronze,Women's,
100m Back,1996,01:01.2,61.2,Gold,Women's,
100m Back,1996,01:01.5,61.5,Silver,Women's,
100m Back,1996,01:02.1,62.1,Bronze,Women's,
100m Back,2000,01:00.2,60.2,Gold,Women's,
100m Back,2000,01:00.6,60.6,Silver,Women's,
100m Back,2000,01:00.9,60.9,Bronze,Women's,
100m Back,2004,01:00.4,60.4,Gold,Women's,
100m Back,2004,01:00.5,60.5,Silver,Women's,
100m Back,2004,01:00.9,60.9,Bronze,Women's,
100m Back,2008,58.96,58.96,Gold,Women's,
100m Back,2008,59.19,59.19,Silver,Women's,
100m Back,2008,59.34,59.34,Bronze,Women's,
100m Back,2012,58.33,58.33,Gold,Women's,
100m Back,2012,58.68,58.68,Silver,Women's,
100m Back,2012,58.83,58.83,Bronze,Women's,
100m Back,2016,58.45,58.45,Gold,Women's,
100m Back,2016,58.75,58.75,Silver,Women's,
100m Back,2016,58.76,58.76,Bronze,Women's,
100m Breast,1968,01:15.8,75.8,Gold,Women's,
100m Breast,1968,01:15.9,75.9,Silver,Women's,
100m Breast,1968,01:16.1,76.1,Bronze,Women's,
100m Breast,1972,01:13.6,73.6,Gold,Women's,
100m Breast,1972,01:15.0,75,Silver,Women's,
100m Breast,1972,01:15.7,75.7,Bronze,Women's,
100m Breast,1976,01:11.2,71.2,Gold,Women's,
100m Breast,1976,01:13.0,73,Silver,Women's,
100m Breast,1976,01:13.3,73.3,Bronze,Women's,
100m Breast,1980,01:10.2,70.2,Gold,Women's,
100m Breast,1980,01:10.4,70.4,Silver,Women's,
100m Breast,1980,01:11.2,71.2,Bronze,Women's,
100m Breast,1984,01:09.9,69.9,Gold,Women's,
100m Breast,1984,01:10.7,70.7,Silver,Women's,
100m Breast,1984,01:10.7,70.7,Bronze,Women's,
100m Breast,1988,01:07.9,67.9,Gold,Women's,
100m Breast,1988,01:08.7,68.7,Silver,Women's,
100m Breast,1988,01:08.8,68.8,Bronze,Women's,
100m Breast,1992,01:08.0,68,Gold,Women's,
100m Breast,1992,01:08.2,68.2,Silver,Women's,
100m Breast,1992,01:09.3,69.3,Bronze,Women's,
100m Breast,1996,01:07.7,67.7,Gold,Women's,
100m Breast,1996,01:08.1,68.1,Silver,Women's,
100m Breast,1996,01:09.2,69.2,Bronze,Women's,
100m Breast,2000,01:07.1,67.1,Gold,Women's,
100m Breast,2000,01:07.5,67.5,Silver,Women's,
100m Breast,2000,01:07.6,67.6,Bronze,Women's,
100m Breast,2004,01:06.6,66.6,Gold,Women's,
100m Breast,2004,01:07.2,67.2,Silver,Women's,
100m Breast,2004,01:07.2,67.2,Bronze,Women's,
100m Breast,2008,01:05.2,65.2,Gold,Women's,
100m Breast,2008,01:06.7,66.7,Silver,Women's,
100m Breast,2008,01:07.3,67.3,Bronze,Women's,
100m Breast,2012,01:05.5,65.5,Gold,Women's,
100m Breast,2012,01:05.5,65.5,Silver,Women's,
100m Breast,2012,01:06.5,66.5,Bronze,Women's,
100m Breast,2016,01:04.9,64.9,Gold,Women's,
100m Breast,2016,01:05.5,65.5,Silver,Women's,
100m Breast,2016,01:05.7,65.7,Bronze,Women's,
100m Butterfly,1956,01:11.0,71,Gold,Women's,
100m Butterfly,1956,01:11.9,71.9,Silver,Women's,
100m Butterfly,1956,01:14.4,74.4,Bronze,Women's,
100m Butterfly,1960,01:09.5,69.5,Gold,Women's,
100m Butterfly,1960,01:10.4,70.4,Silver,Women's,
100m Butterfly,1960,01:12.2,72.2,Bronze,Women's,
100m Butterfly,1964,01:04.7,64.7,Gold,Women's,
100m Butterfly,1964,01:05.6,65.6,Silver,Women's,
100m Butterfly,1964,01:06.0,66,Bronze,Women's,
100m Butterfly,1968,01:05.5,65.5,Gold,Women's,
100m Butterfly,1968,01:05.8,65.8,Silver,Women's,
100m Butterfly,1968,01:06.2,66.2,Bronze,Women's,
100m Butterfly,1972,01:03.3,63.3,Gold,Women's,
100m Butterfly,1972,01:03.6,63.6,Silver,Women's,
100m Butterfly,1972,01:03.7,63.7,Bronze,Women's,
100m Butterfly,1976,01:00.1,60.1,Gold,Women's,
100m Butterfly,1976,01:01.0,61,Silver,Women's,
100m Butterfly,1976,01:01.2,61.2,Bronze,Women's,
100m Butterfly,1980,01:00.4,60.4,Gold,Women's,
100m Butterfly,1980,01:00.9,60.9,Silver,Women's,
100m Butterfly,1980,01:01.4,61.4,Bronze,Women's,
100m Butterfly,1984,00:59.3,59.3,Gold,Women's,
100m Butterfly,1984,01:00.2,60.2,Silver,Women's,
100m Butterfly,1984,01:01.4,61.4,Bronze,Women's,
100m Butterfly,1988,59,59,Gold,Women's,
100m Butterfly,1988,59.45,59.45,Silver,Women's,
100m Butterfly,1988,59.52,59.52,Bronze,Women's,
100m Butterfly,1992,58.62,58.62,Gold,Women's,
100m Butterfly,1992,58.74,58.74,Silver,Women's,
100m Butterfly,1992,59.01,59.01,Bronze,Women's,
100m Butterfly,1996,59.13,59.13,Gold,Women's,
100m Butterfly,1996,59.14,59.14,Silver,Women's,
100m Butterfly,1996,59.23,59.23,Bronze,Women's,
100m Butterfly,2000,56.61,56.61,Gold,Women's,
100m Butterfly,2000,57.97,57.97,Silver,Women's,
100m Butterfly,2000,58.2,58.2,Bronze,Women's,
100m Butterfly,2004,57.52,57.52,Gold,Women's,
100m Butterfly,2004,57.84,57.84,Silver,Women's,
100m Butterfly,2004,57.99,57.99,Bronze,Women's,
100m Butterfly,2008,56.73,56.73,Gold,Women's,
100m Butterfly,2008,57.1,57.1,Silver,Women's,
100m Butterfly,2008,57.25,57.25,Bronze,Women's,
100m Butterfly,2012,55.98,55.98,Gold,Women's,
100m Butterfly,2012,56.87,56.87,Silver,Women's,
100m Butterfly,2012,59.94,59.94,Bronze,Women's,
100m Butterfly,2016,55.48,55.48,Gold,Women's,
100m Butterfly,2016,56.46,56.46,Silver,Women's,
100m Butterfly,2016,56.63,56.63,Bronze,Women's,
200m Back,1968,02:24.8,144.8,Gold,Women's,
200m Back,1968,02:27.4,147.4,Silver,Women's,
200m Back,1968,02:28.9,148.9,Bronze,Women's,
200m Back,1972,02:19.2,139.2,Gold,Women's,
200m Back,1972,02:20.4,140.4,Silver,Women's,
200m Back,1972,02:23.2,143.2,Bronze,Women's,
200m Back,1976,02:13.4,133.4,Gold,Women's,
200m Back,1976,02:15.0,135,Silver,Women's,
200m Back,1976,02:15.6,135.6,Bronze,Women's,
200m Back,1980,02:11.8,131.8,Gold,Women's,
200m Back,1980,02:13.7,133.7,Silver,Women's,
200m Back,1980,02:14.1,134.1,Bronze,Women's,
200m Back,1984,02:12.4,132.4,Gold,Women's,
200m Back,1984,02:13.0,133,Silver,Women's,
200m Back,1984,02:13.3,133.3,Bronze,Women's,
200m Back,1988,02:09.3,129.3,Gold,Women's,
200m Back,1988,02:10.6,130.6,Silver,Women's,
200m Back,1988,02:11.5,131.5,Bronze,Women's,
200m Back,1992,02:07.1,127.1,Gold,Women's,
200m Back,1992,02:09.5,129.5,Silver,Women's,
200m Back,1992,02:10.2,130.2,Bronze,Women's,
200m Back,1996,02:07.8,127.8,Gold,Women's,
200m Back,1996,02:12.0,132,Silver,Women's,
200m Back,1996,02:12.1,132.1,Bronze,Women's,
200m Back,2000,02:08.2,128.2,Gold,Women's,
200m Back,2000,02:10.3,130.3,Silver,Women's,
200m Back,2000,02:11.1,131.1,Bronze,Women's,
200m Back,2004,02:09.2,129.2,Gold,Women's,
200m Back,2004,02:09.7,129.7,Silver,Women's,
200m Back,2004,02:09.9,129.9,Bronze,Women's,
200m Back,2004,02:09.9,129.9,Bronze,Women's,
200m Back,2008,02:05.2,125.2,Gold,Women's,
200m Back,2008,02:06.2,126.2,Silver,Women's,
200m Back,2008,02:07.1,127.1,Bronze,Women's,
200m Back,2012,02:04.1,124.1,Gold,Women's,
200m Back,2012,02:05.9,125.9,Silver,Women's,
200m Back,2012,02:06.6,126.6,Bronze,Women's,
200m Back,2016,02:05.0,125,Gold,Women's,
200m Back,2016,02:06.1,126.1,Silver,Women's,
200m Back,2016,02:07.5,127.5,Bronze,Women's,
200m Breast,1924,03:33.2,213.2,Gold,Women's,
200m Breast,1924,03:34.0,214,Silver,Women's,
200m Breast,1924,03:35.4,215.4,Bronze,Women's,
200m Breast,1928,03:12.6,192.6,Gold,Women's,
200m Breast,1928,03:15.2,195.2,Silver,Women's,
200m Breast,1928,03:17.6,197.6,Bronze,Women's,
200m Breast,1932,03:06.3,186.3,Gold,Women's,
200m Breast,1932,03:06.4,186.4,Silver,Women's,
200m Breast,1932,03:07.1,187.1,Bronze,Women's,
200m Breast,1936,03:03.6,183.6,Gold,Women's,
200m Breast,1936,03:04.2,184.2,Silver,Women's,
200m Breast,1936,03:07.8,187.8,Bronze,Women's,
200m Breast,1948,02:57.2,177.2,Gold,Women's,
200m Breast,1948,02:57.7,177.7,Silver,Women's,
200m Breast,1948,03:00.2,180.2,Bronze,Women's,
200m Breast,1952,02:51.7,171.7,Gold,Women's,
200m Breast,1952,02:54.4,174.4,Silver,Women's,
200m Breast,1952,02:57.6,177.6,Bronze,Women's,
200m Breast,1956,02:53.1,173.1,Gold,Women's,
200m Breast,1956,02:54.8,174.8,Silver,Women's,
200m Breast,1956,02:55.1,175.1,Bronze,Women's,
200m Breast,1960,02:49.5,169.5,Gold,Women's,
200m Breast,1960,02:50.0,170,Silver,Women's,
200m Breast,1960,02:53.6,173.6,Bronze,Women's,
200m Breast,1964,02:46.4,166.4,Gold,Women's,
200m Breast,1964,02:47.6,167.6,Silver,Women's,
200m Breast,1964,02:48.6,168.6,Bronze,Women's,
200m Breast,1968,02:44.4,164.4,Gold,Women's,
200m Breast,1968,02:46.4,166.4,Silver,Women's,
200m Breast,1968,02:47.0,167,Bronze,Women's,
200m Breast,1972,02:41.7,161.7,Gold,Women's,
200m Breast,1972,02:42.1,162.1,Silver,Women's,
200m Breast,1972,02:42.4,162.4,Bronze,Women's,
200m Breast,1976,02:33.3,153.3,Gold,Women's,
200m Breast,1976,02:36.1,156.1,Silver,Women's,
200m Breast,1976,02:36.2,156.2,Bronze,Women's,
200m Breast,1980,02:29.5,149.5,Gold,Women's,
200m Breast,1980,02:29.6,149.6,Silver,Women's,
200m Breast,1980,02:32.4,152.4,Bronze,Women's,
200m Breast,1984,02:30.4,150.4,Gold,Women's,
200m Breast,1984,02:31.1,151.1,Silver,Women's,
200m Breast,1984,02:31.4,151.4,Bronze,Women's,
200m Breast,1988,02:26.7,146.7,Gold,Women's,
200m Breast,1988,02:27.5,147.5,Silver,Women's,
200m Breast,1988,02:28.3,148.3,Bronze,Women's,
200m Breast,1992,02:26.7,146.7,Gold,Women's,
200m Breast,1992,02:26.8,146.8,Silver,Women's,
200m Breast,1992,02:26.9,146.9,Bronze,Women's,
200m Breast,1996,02:25.4,145.4,Gold,Women's,
200m Breast,1996,02:25.8,145.8,Silver,Women's,
