Event,Year,x,Time,Medal,Gender,Name
100m Breast,1984,01:01.7,61.7,Gold,Men's,
100m Breast,1984,01:02.0,62,Silver,Men's,
100m Breast,1984,01:03.0,63,Bronze,Men's,
100m Breast,1988,01:02.0,62,Gold,Men's,
100m Breast,1988,01:02.1,62.1,Silver,Men's,
100m Breast,1988,01:02.2,62.2,Bronze,Men's,
100m Breast,1992,01:01.5,61.5,Gold,Men's,
100m Breast,1992,01:01.7,61.7,Silver,Men's,
100m Breast,1992,01:01.8,61.8,Bronze,Men's,
100m Breast,1996,01:00.7,60.7,Gold,Men's,
100m Breast,1996,01:00.8,60.8,Silver,Men's,
100m Breast,1996,01:01.3,61.3,Bronze,Men's,
100m Breast,2000,01:00.5,60.5,Gold,Men's,
100m Breast,2000,01:00.7,60.7,Silver,Men's,
100m Breast,2000,01:00.9,60.9,Bronze,Men's,
100m Breast,2004,01:00.1,60.1,Gold,Men's,
100m Breast,2004,01:00.3,60.3,Silver,Men's,
100m Breast,2004,01:00.9,60.9,Bronze,Men's,
100m Breast,2008,58.91,58.91,Gold,Men's,
100m Breast,2008,59.2,59.2,Silver,Men's,
100m Breast,2008,59.37,59.37,Bronze,Men's,
100m Breast,2012,58.46,58.46,Gold,Men's,
100m Breast,2012,58.93,58.93,Silver,Men's,
100m Breast,2012,59.49,59.49,Bronze,Men's,
100m Breast,2016,57.13,57.13,Gold,Men's,
100m Breast,2016,58.69,58.69,Silver,Men's,
100m Breast,2016,58.87,58.87,Bronze,Men's,
100m Butterfly,1968,55.9,55.9,Gold,Men's,
100m Butterfly,1968,56.4,56.4,Silver,Men's,
100m Butterfly,1968,57.2,57.2,Bronze,Men's,
100m Butterfly,1972,54.27,54.27,Gold,Men's,
100m Butterfly,1972,55.56,55.56,Silver,Men's,
100m Butterfly,1972,55.74,55.74,Bronze,Men's,
100m Butterfly,1976,54.35,54.35,Gold,Men's,
100m Butterfly,1976,54.5,54.5,Silver,Men's,
100m Butterfly,1976,54.65,54.65,Bronze,Men's,
100m Butterfly,1980,54.92,54.92,Gold,Men's,
100m Butterfly,1980,54.94,54.94,Silver,Men's,
100m Butterfly,1980,55.13,55.13,Bronze,Men's,
100m Butterfly,1984,53.08,53.08,Gold,Men's,
100m Butterfly,1984,53.23,53.23,Silver,Men's,
100m Butterfly,1988,53,53,Gold,Men's,
100m Butterfly,1988,53.01,53.01,Silver,Men's,
100m Butterfly,1988,53.3,53.3,Bronze,Men's,
100m Butterfly,1992,53.32,53.32,Gold,Men's,
100m Butterfly,1992,53.35,53.35,Silver,Men's,
100m Butterfly,1992,53.41,53.41,Bronze,Men's,
100m Butterfly,1996,52.27,52.27,Gold,Men's,
100m Butterfly,1996,52.53,52.53,Silver,Men's,
100m Butterfly,1996,53.13,53.13,Bronze,Men's,
100m Butterfly,2000,52,52,Gold,Men's,
100m Butterfly,2000,52.18,52.18,Silver,Men's,
100m Butterfly,2000,52.22,52.22,Bronze,Men's,
100m Butterfly,2004,51.25,51.25,Gold,Men's,
100m Butterfly,2004,51.29,51.29,Silver,Men's,
100m Butterfly,2004,51.36,51.36,Bronze,Men's,
100m Butterfly,2008,50.58,50.58,Gold,Men's,
100m Butterfly,2008,50.59,50.59,Silver,Men's,
100m Butterfly,2008,51.12,51.12,Bronze,Men's,
100m Butterfly,2012,51.21,51.21,Gold,Men's,
100m Butterfly,2012,51.44,51.44,Silver,Men's,
100m Butterfly,2012,51.44,51.44,Bronze,Men's,
100m Butterfly,2016,50.39,50.39,Gold,Men's,
100m Butterfly,2016,51.14,51.14,Silver,Men's,
100m Butterfly,2016,51.14,51.14,Bronze,Men's,
200m Back,1900,02:47.0,167,Gold,Men's,
200m Back,1900,02:56.0,176,Silver,Men's,
200m Back,1900,03:01.0,181,Bronze,Men's,
200m Back,1964,02:10.3,130.3,Gold,Men's,
200m Back,1964,02:10.5,130.5,Silver,Men's,
200m Back,1964,02:13.1,133.1,Bronze,Men's,
200m Back,1968,02:09.6,129.6,Gold,Men's,
200m Back,1968,02:10.6,130.6,Silver,Men's,
200m Back,1968,02:10.9,130.9,Bronze,Men's,
200m Back,1972,02:02.8,122.8,Gold,Men's,
200m Back,1972,02:04.1,124.1,Silver,Men's,
200m Back,1972,02:04.3,124.3,Bronze,Men's,
200m Back,1976,01:59.2,119.2,Gold,Men's,
200m Back,1976,02:00.6,120.6,Silver,Men's,
200m Back,1976,02:01.4,121.4,Bronze,Men's,
200m Back,1980,02:01.9,121.9,Gold,Men's,
200m Back,1980,02:02.4,122.4,Silver,Men's,
200m Back,1980,02:03.1,123.1,Bronze,Men's,
200m Back,1984,02:00.2,120.2,Gold,Men's,
200m Back,1984,02:01.8,121.8,Silver,Men's,
200m Back,1984,02:02.4,122.4,Bronze,Men's,
200m Back,1988,01:59.4,119.4,Gold,Men's,
200m Back,1988,01:59.6,119.6,Silver,Men's,
200m Back,1988,02:00.5,120.5,Bronze,Men's,
200m Back,1992,01:58.5,118.5,Gold,Men's,
200m Back,1992,01:58.9,118.9,Silver,Men's,
200m Back,1992,01:59.4,119.4,Bronze,Men's,
200m Back,1996,01:58.5,118.5,Gold,Men's,
200m Back,1996,01:59.0,119,Silver,Men's,
200m Back,1996,01:59.2,119.2,Bronze,Men's,
200m Back,2000,01:56.8,116.8,Gold,Men's,
200m Back,2000,01:57.4,117.4,Silver,Men's,
200m Back,2000,01:57.6,117.6,Bronze,Men's,
200m Back,2004,01:55.0,115,Gold,Men's,
200m Back,2004,01:57.4,117.4,Silver,Men's,
200m Back,2004,01:57.6,117.6,Bronze,Men's,
200m Back,2008,01:53.9,113.9,Gold,Men's,
200m Back,2008,01:54.3,114.3,Silver,Men's,
200m Back,2008,01:54.9,114.9,Bronze,Men's,
200m Back,2012,01:54.4,114.4,Gold,Men's,
200m Back,2012,01:53.8,113.8,Silver,Men's,
200m Back,2012,01:53.9,113.9,Bronze,Men's,
200m Back,2016,01:53.6,113.6,Gold,Men's,
200m Back,2016,01:54.0,114,Silver,Men's,
200m Back,2016,01:54.0,114,Bronze,Men's,
200m Breast,1908,03:09.2,189.2,Gold,Men's,
200m Breast,1908,03:12.8,192.8,Silver,Men's,
200m Breast,1908,03:14.6,194.6,Bronze,Men's,
200m Breast,1912,03:01.8,181.8,Gold,Men's,
200m Breast,1912,03:05.0,185,Silver,Men's,
200m Breast,1912,03:08.0,188,Bronze,Men's,
200m Breast,1920,03:04.4,184.4,Gold,Men's,
200m Breast,1920,03:09.2,189.2,Silver,Men's,
200m Breast,1920,03:12.2,192.2,Bronze,Men's,
200m Breast,1924,02:56.6,176.6,Gold,Men's,
200m Breast,1924,02:59.2,179.2,Silver,Men's,
200m Breast,1924,03:01.0,181,Bronze,Men's,
200m Breast,1928,02:48.8,168.8,Gold,Men's,
200m Breast,1928,02:50.6,170.6,Silver,Men's,
200m Breast,1928,02:56.4,176.4,Bronze,Men's,
200m Breast,1932,02:45.4,165.4,Gold,Men's,
200m Breast,1932,02:46.6,166.6,Silver,Men's,
200m Breast,1932,02:47.1,167.1,Bronze,Men's,
200m Breast,1936,02:41.5,161.5,Gold,Men's,
200m Breast,1936,02:42.9,162.9,Silver,Men's,
200m Breast,1936,02:44.2,164.2,Bronze,Men's,
200m Breast,1948,02:39.3,159.3,Gold,Men's,
200m Breast,1948,02:40.2,160.2,Silver,Men's,
200m Breast,1948,02:43.9,163.9,Bronze,Men's,
200m Breast,1952,02:34.4,154.4,Gold,Men's,
200m Breast,1952,02:34.7,154.7,Silver,Men's,
200m Breast,1952,02:35.9,155.9,Bronze,Men's,
200m Breast,1956,02:34.7,154.7,Gold,Men's,
200m Breast,1956,02:36.7,156.7,Silver,Men's,
200m Breast,1956,02:36.8,156.8,Bronze,Men's,
200m Breast,1960,02:37.4,157.4,Gold,Men's,
200m Breast,1960,02:38.0,158,Silver,Men's,
200m Breast,1960,02:39.7,159.7,Bronze,Men's,
200m Breast,1964,02:27.8,147.8,Gold,Men's,
200m Breast,1964,02:28.2,148.2,Silver,Men's,
200m Breast,1964,02:29.6,149.6,Bronze,Men's,
200m Breast,1968,02:28.7,148.7,Gold,Men's,
200m Breast,1968,02:29.2,149.2,Silver,Men's,
200m Breast,1968,02:29.9,149.9,Bronze,Men's,
200m Breast,1972,02:21.6,141.6,Gold,Men's,
200m Breast,1972,02:23.7,143.7,Silver,Men's,
200m Breast,1972,02:23.9,143.9,Bronze,Men's,
200m Breast,1976,02:15.1,135.1,Gold,Men's,
200m Breast,1976,02:17.3,137.3,Silver,Men's,
200m Breast,1976,02:19.2,139.2,Bronze,Men's,
200m Breast,1980,02:15.9,135.9,Gold,Men's,
200m Breast,1980,02:16.9,136.9,Silver,Men's,
200m Breast,1980,02:17.3,137.3,Bronze,Men's,
200m Breast,1984,02:13.3,133.3,Gold,Men's,
200m Breast,1984,02:15.8,135.8,Silver,Men's,
200m Breast,1984,02:17.4,137.4,Bronze,Men's,
200m Breast,1988,02:13.5,133.5,Gold,Men's,
200m Breast,1988,02:14.1,134.1,Silver,Men's,
200m Breast,1988,02:15.2,135.2,Bronze,Men's,
200m Breast,1992,02:10.2,130.2,Gold,Men's,
200m Breast,1992,02:11.2,131.2,Silver,Men's,
200m Breast,1992,02:11.3,131.3,Bronze,Men's,
200m Breast,1996,02:12.6,132.6,Gold,Men's,
200m Breast,1996,02:13.0,133,Silver,Men's,
200m Breast,1996,02:13.2,133.2,Bronze,Men's,
200m Breast,2000,02:10.9,130.9,Gold,Men's,
200m Breast,2000,02:12.5,132.5,Silver,Men's,
200m Breast,2000,02:12.7,132.7,Bronze,Men's,
200m Breast,2004,02:09.4,129.4,Gold,Men's,
200m Breast,2004,02:10.8,130.8,Silver,Men's,
200m Breast,2004,02:10.9,130.9,Bronze,Men's,
200m Breast,2008,02:07.6,127.6,Gold,Men's,
200m Breast,2008,02:08.9,128.9,Silver,Men's,
200m Breast,2008,02:08.9,128.9,Bronze,Men's,
200m Breast,2012,02:07.3,127.3,Gold,Men's,
200m Breast,2012,02:07.4,127.4,Silver,Men's,
200m Breast,2012,02:08.3,128.3,Bronze,Men's,
200m Breast,2016,02:07.5,127.5,Gold,Men's,
200m Breast,2016,02:07.5,127.5,Silver,Men's,
200m Breast,2016,02:07.7,127.7,Bronze,Men's,
200m Butterfly,1956,02:19.3,139.3,Gold,Men's,
200m Butterfly,1956,02:23.8,143.8,Silver,Men's,
200m Butterfly,1956,02:23.9,143.9,Bronze,Men's,
200m Butterfly,1960,02:12.8,132.8,Gold,Men's,
200m Butterfly,1960,02:14.6,134.6,Silver,Men's,
200m Butterfly,1960,02:15.3,135.3,Bronze,Men's,
200m Butterfly,1964,02:06.6,126.6,Gold,Men's,
200m Butterfly,1964,02:07.5,127.5,Silver,Men's,
200m Butterfly,1964,02:09.3,129.3,Bronze,Men's,
200m Butterfly,1968,02:08.7,128.7,Gold,Men's,
200m Butterfly,1968,02:09.0,129,Silver,Men's,
200m Butterfly,1968,02:09.3,129.3,Bronze,Men's,
200m Butterfly,1972,02:00.7,120.7,Gold,Men's,
200m Butterfly,1972,02:02.9,122.9,Silver,Men's,
200m Butterfly,1972,02:03.2,123.2,Bronze,Men's,
200m Butterfly,1976,01:59.2,119.2,Gold,Men's,
200m Butterfly,1976,01:59.5,119.5,Silver,Men's,
200m Butterfly,1976,02:00.0,120,Bronze,Men's,
200m Butterfly,1980,01:59.8,119.8,Gold,Men's,
200m Butterfly,1980,02:01.2,121.2,Silver,Men's,
200m Butterfly,1980,02:01.4,121.4,Bronze,Men's,
200m Butterfly,1984,01:57.0,117,Gold,Men's,
200m Butterfly,1984,01:57.4,117.4,Silver,Men's,
200m Butterfly,1984,01:57.5,117.5,Bronze,Men's,
200m Butterfly,1988,01:56.9,116.9,Gold,Men's,
200m Butterfly,1988,01:58.2,118.2,Silver,Men's,
200m Butterfly,1988,01:58.3,118.3,Bronze,Men's,
200m Butterfly,1992,01:56.3,116.3,Gold,Men's,
200m Butterfly,1992,01:57.9,117.9,Silver,Men's,
200m Butterfly,1992,01:58.5,118.5,Bronze,Men's,
200m Butterfly,1996,01:56.5,116.5,Gold,Men's,
200m Butterfly,1996,01:57.4,117.4,Silver,Men's,
200m Butterfly,1996,01:57.5,117.5,Bronze,Men's,
200m Butterfly,2000,01:55.3,115.3,Gold,Men's,
200m Butterfly,2000,01:55.8,115.8,Silver,Men's,
200m Butterfly,2000,01:56.2,116.2,Bronze,Men's,
200m Butterfly,2004,01:54.0,114,Gold,Men's,
200m Butterfly,2004,01:54.6,114.6,Silver,Men's,
200m Butterfly,2004,01:55.5,115.5,Bronze,Men's,
200m Butterfly,2008,01:52.0,112,Gold,Men's,
200m Butterfly,2008,01:52.7,112.7,Silver,Men's,
200m Butterfly,2008,01:53.0,113,Bronze,Men's,
200m Butterfly,2012,01:53.0,113,Gold,Men's,
200m Butterfly,2012,01:53.0,113,Silver,Men's,
200m Butterfly,2012,01:53.2,113.2,Bronze,Men's,
200m Butterfly,2016,01:53.4,113.4,Gold,Men's,
200m Butterfly,2016,01:53.4,113.4,Silver,Men's,
200m Butterfly,2016,01:53.6,113.6,Bronze,Men's,
200m Free,1900,02:25.2,145.2,Gold,Men's,
200m Free,1900,02:31.4,151.4,Silver,Men's,
200m Free,1900,02:32.0,152,Bronze,Men's,
200m Free,1904,02:44.2,164.2,Gold,Men's,
200m Free,1904,02:46.0,166,Silver,Men's,
200m Free,1904,02:56.0,176,Bronze,Men's,
200m Free,1968,01:55.2,115.2,Gold,Men's,
200m Free,1968,01:55.8,115.8,Silver,Men's,
200m Free,1968,01:58.1,118.1,Bronze,Men's,
200m Free,1972,01:52.8,112.8,Gold,Men's,
200m Free,1972,01:53.7,113.7,Silver,Men's,
200m Free,1972,01:54.0,114,Bronze,Men's,
200m Free,1976,01:50.3,110.3,Gold,Men's,
200m Free,1976,01:50.5,110.5,Silver,Men's,
200m Free,1976,01:50.6,110.6,Bronze,Men's,
200m Free,1980,01:49.8,109.8,Gold,Men's,
200m Free,1980,01:50.8,110.8,Silver,Men's,
200m Free,1980,01:51.6,111.6,Bronze,Men's,
200m Free,1984,01:47.4,107.4,Gold,Men's,
200m Free,1984,01:49.1,109.1,Silver,Men's,
200m Free,1984,01:49.7,109.7,Bronze,Men's,
200m Free,1988,01:47.3,107.3,Gold,Men's,
200m Free,1988,01:47.9,107.9,Silver,Men's,
200m Free,1988,01:48.0,108,Bronze,Men's,
200m Free,1992,01:46.7,106.7,Gold,Men's,
200m Free,1992,01:46.9,106.9,Silver,Men's,
200m Free,1992,01:47.6,107.6,Bronze,Men's,
200m Free,1996,01:47.6,107.6,Gold,Men's,
200m Free,1996,01:48.1,108.1,Silver,Men's,
200m Free,1996,01:48.2,108.2,Bronze,Men's,
200m Free,2000,01:45.3,105.3,Gold,Men's,
200m Free,2000,01:45.8,105.8,Silver,Men's,
200m Free,2000,01:46.7,106.7,Bronze,Men's,
200m Free,2004,01:44.7,104.7,Gold,Men's,
200m Free,2004,01:45.2,105.2,Silver,Men's,
200m Free,2004,01:45.3,105.3,Bronze,Men's,
200m Free,2008,01:43.0,103,Gold,Men's,
200m Free,2008,01:44.9,104.9,Silver,Men's,
200m Free,2008,01:45.1,105.1,Bronze,Men's,
200m Free,2012,01:43.1,103.1,Gold,Men's,
200m Free,2012,01:44.9,104.9,Silver,Men's,
200m Free,2012,01:44.9,104.9,Bronze,Men's,
200m Free,2016,01:44.7,104.7,Gold,Men's,
200m Free,2016,01:45.2,105.2,Silver,Men's,
200m Free,2016,01:45.2,105.2,Bronze,Men's,
200m IM,1968,02:12.0,132,Gold,Men's,
200m IM,1968,02:13.0,133,Silver,Men's,
200m IM,1968,02:13.3,133.3,Bronze,Men's,
200m IM,1972,02:07.2,127.2,Gold,Men's,
200m IM,1972,02:08.4,128.4,Silver,Men's,
200m IM,1972,02:08.4,128.4,Bronze,Men's,
200m IM,1984,02:01.4,121.4,Gold,Men's,
200m IM,1984,02:03.1,123.1,Silver,Men's,
200m IM,1984,02:04.4,124.4,Bronze,Men's,
200m IM,1988,02:00.2,120.2,Gold,Men's,
200m IM,1988,02:01.6,121.6,Silver,Men's,
200m IM,1988,02:02.4,122.4,Bronze,Men's,
200m IM,1992,02:00.8,120.8,Gold,Men's,
200m IM,1992,02:01.0,121,Silver,Men's,
200m IM,1992,02:01.0,121,Bronze,Men's,
200m IM,1996,01:59.9,119.9,Gold,Men's,
200m IM,1996,02:00.1,120.1,Silver,Men's,
200m IM,1996,02:01.1,121.1,Bronze,Men's,
200m IM,2000,01:59.0,119,Gold,Men's,
200m IM,2000,01:59.8,119.8,Silver,Men's,
200m IM,2000,02:00.9,120.9,Bronze,Men's,
200m IM,2004,01:57.1,117.1,Gold,Men's,
200m IM,2004,01:58.8,118.8,Silver,Men's,
200m IM,2004,01:58.8,118.8,Bronze,Men's,
200m IM,2008,01:54.2,114.2,Gold,Men's,
200m IM,2008,01:56.5,116.5,Silver,Men's,
200m IM,2008,01:56.5,116.5,Bronze,Men's,
200m IM,2012,01:54.3,114.3,Gold,Men's,
200m IM,2012,01:54.9,114.9,Silver,Men's,
200m IM,2012,01:56.2,116.2,Bronze,Men's,
200m IM,2016,01:54.7,114.7,Gold,Men's,
200m IM,2016,01:56.6,116.6,Silver,Men's,
200m IM,2016,01:57.0,117,Bronze,Men's,
400m IM,1964,04:45.4,285.4,Gold,Men's,
400m IM,1964,04:47.1,287.1,Silver,Men's,
400m IM,1964,04:51.0,291,Bronze,Men's,
400m IM,1968,04:48.4,288.4,Gold,Men's,
400m IM,1968,04:48.7,288.7,Silver,Men's,
400m IM,1968,04:51.4,291.4,Bronze,Men's,
400m IM,1972,04:32.0,272,Gold,Men's,
400m IM,1972,04:32.0,272,Silver,Men's,
400m IM,1972,04:32.7,272.7,Bronze,Men's,
400m IM,1976,04:23.7,263.7,Gold,Men's,
400m IM,1976,04:24.6,264.6,Silver,Men's,
400m IM,1976,04:26.9,266.9,Bronze,Men's,
400m IM,1980,04:22.9,262.9,Gold,Men's,
400m IM,1980,04:23.4,263.4,Silver,Men's,
400m IM,1980,04:24.2,264.2,Bronze,Men's,
400m IM,1984,04:17.4,257.4,Gold,Men's,
400m IM,1984,04:18.5,258.5,Silver,Men's,
400m IM,1984,04:20.5,260.5,Bronze,Men's,
400m IM,1988,04:14.7,254.7,Gold,Men's,
400m IM,1988,04:17.4,257.4,Silver,Men's,
400m IM,1988,04:18.0,258,Bronze,Men's,
400m IM,1992,04:14.2,254.2,Gold,Men's,
400m IM,1992,04:15.6,255.6,Silver,Men's,
400m IM,1992,04:16.3,256.3,Bronze,Men's,
400m IM,1996,04:14.9,254.9,Gold,Men's,
400m IM,1996,04:15.2,255.2,Silver,Men's,
400m IM,1996,04:16.3,256.3,Bronze,Men's,
400m IM,2000,04:11.8,251.8,Gold,Men's,
400m IM,2000,04:14.2,254.2,Silver,Men's,
400m IM,2000,04:15.3,255.3,Bronze,Men's,
400m IM,2004,04:08.3,248.3,Gold,Men's,
400m IM,2004,04:11.8,251.8,Silver,Men's,
400m IM,2004,04:12.1,252.1,Bronze,Men's,
400m IM,2008,04:03.8,243.8,Gold,Men's,
400m IM,2008,04:06.2,246.2,Silver,Men's,
400m IM,2008,04:08.1,248.1,Bronze,Men's,
400m IM,2012,04:05.2,245.2,Gold,Men's,
400m IM,2012,04:08.9,248.9,Silver,Men's,
400m IM,2012,04:08.9,248.9,Bronze,Men's,
400m IM,2016,04:06.0,246,Gold,Men's,
400m IM,2016,04:06.8,246.8,Silver,Men's,
400m IM,2016,04:09.7,249.7,Bronze,Men's,
